,Date,State,Pct_Unemployed
0,2019-01-01,Alabama,4.2
1,2019-02-01,Alabama,3.8
2,2019-03-01,Alabama,3.4
3,2019-04-01,Alabama,2.6
4,2019-05-01,Alabama,2.5
5,2019-06-01,Alabama,3.3
6,2019-07-01,Alabama,3.1
7,2019-08-01,Alabama,3.0
8,2019-09-01,Alabama,2.6
9,2019-10-01,Alabama,2.5
10,2019-11-01,Alabama,2.4
11,2019-12-01,Alabama,2.5
12,2020-01-01,Alabama,3.2
13,2020-02-01,Alabama,2.9
14,2020-03-01,Alabama,3.0
15,2020-04-01,Alabama,13.2
16,2020-05-01,Alabama,9.2
17,2020-06-01,Alabama,8.0
18,2019-01-01,Alaska,6.9
19,2019-02-01,Alaska,7.0
20,2019-03-01,Alaska,6.8
21,2019-04-01,Alaska,6.3
22,2019-05-01,Alaska,6.0
23,2019-06-01,Alaska,6.3
24,2019-07-01,Alaska,5.6
25,2019-08-01,Alaska,5.3
26,2019-09-01,Alaska,5.5
27,2019-10-01,Alaska,5.7
28,2019-11-01,Alaska,6.1
29,2019-12-01,Alaska,6.1
30,2020-01-01,Alaska,6.6
31,2020-02-01,Alaska,5.9
32,2020-03-01,Alaska,5.9
33,2020-04-01,Alaska,13.7
34,2020-05-01,Alaska,12.6
35,2020-06-01,Alaska,12.3
36,2019-01-01,Arizona,5.1
37,2019-02-01,Arizona,4.7
38,2019-03-01,Arizona,4.7
39,2019-04-01,Arizona,4.5
40,2019-05-01,Arizona,4.6
41,2019-06-01,Arizona,5.0
42,2019-07-01,Arizona,5.1
43,2019-08-01,Arizona,5.0
44,2019-09-01,Arizona,4.6
45,2019-10-01,Arizona,4.5
46,2019-11-01,Arizona,4.3
47,2019-12-01,Arizona,4.2
48,2020-01-01,Arizona,4.6
49,2020-02-01,Arizona,4.4
50,2020-03-01,Arizona,6.1
51,2020-04-01,Arizona,13.1
52,2020-05-01,Arizona,8.8
53,2020-06-01,Arizona,10.3
54,2019-01-01,Arkansas,4.2
55,2019-02-01,Arkansas,4.1
56,2019-03-01,Arkansas,3.5
57,2019-04-01,Arkansas,3.0
58,2019-05-01,Arkansas,3.4
59,2019-06-01,Arkansas,3.8
60,2019-07-01,Arkansas,4.1
61,2019-08-01,Arkansas,3.6
62,2019-09-01,Arkansas,3.3
63,2019-10-01,Arkansas,3.1
64,2019-11-01,Arkansas,3.1
65,2019-12-01,Arkansas,3.4
66,2020-01-01,Arkansas,4.1
67,2020-02-01,Arkansas,3.9
68,2020-03-01,Arkansas,4.9
69,2020-04-01,Arkansas,10.3
70,2020-05-01,Arkansas,9.4
71,2020-06-01,Arkansas,8.2
72,2019-01-01,California,4.8
73,2019-02-01,California,4.5
74,2019-03-01,California,4.5
75,2019-04-01,California,3.8
76,2019-05-01,California,3.6
77,2019-06-01,California,4.1
78,2019-07-01,California,4.4
79,2019-08-01,California,4.2
80,2019-09-01,California,3.6
81,2019-10-01,California,3.7
82,2019-11-01,California,3.7
83,2019-12-01,California,3.7
84,2020-01-01,California,4.3
85,2020-02-01,California,4.3
86,2020-03-01,California,5.8
87,2020-04-01,California,16.2
88,2020-05-01,California,16.0
89,2020-06-01,California,15.1
90,2019-01-01,Colorado,3.6
91,2019-02-01,Colorado,3.3
92,2019-03-01,Colorado,3.1
93,2019-04-01,Colorado,2.8
94,2019-05-01,Colorado,2.6
95,2019-06-01,Colorado,2.9
96,2019-07-01,Colorado,2.7
97,2019-08-01,Colorado,2.6
98,2019-09-01,Colorado,2.4
99,2019-10-01,Colorado,2.4
100,2019-11-01,Colorado,2.4
101,2019-12-01,Colorado,2.4
102,2020-01-01,Colorado,2.8
103,2020-02-01,Colorado,2.9
104,2020-03-01,Colorado,5.4
